m,pct_to_1,pct_to_minus1,pct_no_converge,transition_point,dist_to_1,dist_to_minus1,ratio_dist,max_iterations,time_seconds
2,68.45169067382812,31.548309326171875,0.0,-0.33331666583329167,1.3333166658332916,0.6666833341667083,1.999924998124953,39,3.495408773422241
3,79.72583770751953,20.27416229248047,0.0,-0.5000250012500626,1.5000250012500627,0.49997499874993745,3.000200020002001,58,6.1784727573394775
4,85.18657684326172,14.813423156738281,0.0,-0.600030001500075,1.600030001500075,0.399969998499925,4.00037504688086,76,10.012725591659546
5,88.232421875,11.767387390136719,0.00019073486328125,-0.6666333316665833,1.6666333316665833,0.33336666833341666,4.9994000299985,100,13.788134813308716
6,90.1458740234375,9.852027893066406,0.00209808349609375,-0.7143357167858393,1.7143357167858393,0.2856642832141607,6.0012252756870295,100,16.896488189697266
7,91.10450744628906,8.529853820800781,0.36563873291015625,-0.7500375018750938,1.7500375018750938,0.24996249812490623,7.00120024004801,100,21.224448442459106
8,5.003166198730469,7.508087158203125,87.4887466430664,-0.7777388869443472,1.7777388869443471,0.22226111305565277,7.998425196850394,100,21.702258348464966
9,0.21343231201171875,6.750679016113281,93.035888671875,-0.8000400020001001,1.8000400020001002,0.19995999799989994,9.002000500125035,100,21.83241558074951
10,0.0179290771484375,6.134796142578125,93.84727478027344,-0.8181409070453523,1.8181409070453523,0.18185909295464775,9.997525433049216,100,23.53909182548523
11,0.00247955322265625,5.612373352050781,94.38514709472656,-0.8333416670833542,1.8333416670833542,0.16665833291664578,11.000600060006004,100,22.48047137260437
12,0.00057220458984375,5.194854736328125,94.80457305908203,-0.8461423071153558,1.8461423071153558,0.15385769288464424,11.99902502437439,100,24.236896514892578
13,0.00019073486328125,4.826927185058594,95.17288208007812,-0.8571428571428571,1.8571428571428572,0.1428571428571429,12.999999999999996,100,23.404232263565063
14,0.0,4.512596130371094,95.4874038696289,-0.8666433321666084,1.8666433321666083,0.13335666783339162,13.997375328083994,100,21.617249250411987
15,0.0,4.2453765869140625,95.75462341308594,-0.8750437521876094,1.8750437521876093,0.12495624781239056,15.005602240896366,100,25.14232873916626
16,0.0,3.997039794921875,96.00296020507812,-0.8823441172058603,1.8823441172058604,0.11765588279413974,15.9987250318742,100,26.781352043151855
17,0.0,3.7883758544921875,96.21162414550781,-0.8888444422221111,1.8888444422221111,0.11115555777788888,16.99280251911831,100,24.694751262664795
18,0.0,3.5953521728515625,96.40464782714844,-0.8947447372368619,1.894744737236862,0.10525526276313812,18.001425178147276,100,25.22315740585327
19,0.0,3.4214019775390625,96.57859802246094,-0.9000450022501125,1.9000450022501125,0.09995499774988748,19.00900450225113,100,26.75864553451538
20,0.0,3.2670974731445312,96.73290252685547,-0.9047452372618631,1.9047452372618632,0.09525476273813693,19.996325459317582,100,24.044317722320557
21,0.0,3.12042236328125,96.87957763671875,-0.9090454522726137,1.9090454522726137,0.09095454772738631,20.989004947773516,100,23.62642526626587
22,0.0,2.996063232421875,97.00393676757812,-0.9130456522826141,1.913045652282614,0.08695434771738586,22.000575043128237,100,27.71614170074463
23,0.0,2.8749465942382812,97.12505340576172,-0.9166458322916146,1.9166458322916147,0.08335416770838544,22.994001199760042,100,27.507742881774902
24,0.0,2.7620315551757812,97.23796844482422,-0.920046002300115,1.920046002300115,0.07995399769988498,24.01438398999375,100,26.447091579437256
25,0.0,2.6645660400390625,97.33543395996094,-0.9230461523076154,1.9230461523076154,0.07695384769238456,24.989603638726468,100,26.392282962799072
26,0.0,2.567291259765625,97.43270874023438,-0.9259462973148658,1.9259462973148658,0.07405370268513423,26.007427413909532,100,25.75123620033264
27,0.0,2.4797439575195312,97.52025604248047,-0.928546427321366,1.9285464273213662,0.07145357267863395,26.99020293911826,100,23.46911644935608
28,0.0,2.3975372314453125,97.60246276855469,-0.9310465523276164,1.9310465523276164,0.06895344767238365,28.005076142131966,100,26.433471202850342
29,0.0,2.3225784301757812,97.67742156982422,-0.9333466673333667,1.9333466673333666,0.06665333266663331,29.0060015003751,100,26.661830186843872
30,0.0,2.252197265625,97.747802734375,-0.935446772338617,1.9354467723386168,0.06455322766138305,29.98218435321457,100,27.997827768325806
31,0.0,2.1823883056640625,97.81761169433594,-0.9375468773438672,1.937546877343867,0.06245312265613279,31.024019215372306,100,28.8852961063385
32,0.0,2.1198272705078125,97.88017272949219,-0.9394469723486174,1.9394469723486174,0.060553027651382596,32.02890173410403,100,27.260960578918457
33,0.0,2.0603179931640625,97.93968200683594,-0.9411470573528676,1.9411470573528677,0.05885294264713237,32.983007646559045,100,27.51971983909607
34,0.0,2.004241943359375,97.99575805664062,-0.9428471423571179,1.9428471423571179,0.05715285764288214,33.99387576552931,100,26.581852436065674
35,0.0,1.949310302734375,98.05068969726562,-0.944447222361118,1.944447222361118,0.055552777638882,35.001800180017966,100,26.946916580200195
36,0.0,1.89971923828125,98.10028076171875,-0.9459472973648683,1.9459472973648682,0.05405270263513173,36.000925069380216,100,28.691459894180298
37,0.0,1.8514633178710938,98.1485366821289,-0.9473473673683684,1.9473473673683683,0.05265263263163156,36.98480531813867,100,27.56027126312256
38,0.0,1.8070220947265625,98.19297790527344,-0.9487474373718686,1.9487474373718685,0.05125256262813138,38.02243902439026,100,27.279625415802002
39,0.0,1.7633438110351562,98.23665618896484,-0.9500475023751187,1.9500475023751187,0.0499524976248813,39.038038038037996,100,26.244560956954956
40,0.0,1.7223358154296875,98.27766418457031,-0.9512475623781189,1.951247562378119,0.048752437621881084,40.02358974358975,100,27.677003145217896
41,0.0,1.6839981079101562,98.31600189208984,-0.952347617380869,1.9523476173808691,0.04765238261913096,40.970619097586564,100,27.136613607406616
42,0.0,1.6447067260742188,98.35529327392578,-0.9535476773838691,1.9535476773838691,0.04645232261613086,42.054897739504796,100,30.54621458053589
43,0.0,1.610565185546875,98.38943481445312,-0.9545477273863693,1.9545477273863692,0.04545227261363072,43.00220022002196,100,29.34291696548462
